-----------------------------
1521232630.729,starting test
1521232638.386,E8:FA:0D:3C:01:82,-52
1521232638.388,7C:16:55:2E:4F:76,-103
1521232638.397,26:94:08:39:24:90,-64
1521232638.413,DC:94:C8:A9:D0:B6,-53
1521232638.434,DC:94:C8:A9:D0:B6,-53
1521232638.436,55:24:CF:EA:82:DD,-91
1521232638.440,55:24:CF:EA:82:DD,-91
1521232638.442,C2:57:36:E6:71:6E,-57
1521232638.444,C2:57:36:E6:71:6E,-56
1521232638.658,CB:3C:59:5F:87:FB,-54
1521232638.662,CB:3C:59:5F:87:FB,-54
1521232638.665,E9:0D:4A:6D:31:59,-57
1521232638.666,E9:0D:4A:6D:31:59,-57
1521232638.667,C1:96:24:5B:EB:97,-52
1521232638.687,C1:96:24:5B:EB:97,-52
1521232638.690,E5:3B:3A:53:DF:6C,-53
1521232638.690,E5:3B:3A:53:DF:6C,-53
1521232638.705,26:94:08:39:24:90,-56
1521232638.716,3C:15:C2:C7:F7:27,-103
1521232638.724,46:C9:7B:F5:66:DD,-98
1521232638.731,F1:4E:55:EA:ED:A4,-55
1521232638.732,F1:4E:55:EA:ED:A4,-55
1521232638.733,FD:99:D9:69:5D:BC,-55
1521232638.737,FD:99:D9:69:5D:BC,-55
1521232638.952,7F:4B:65:4E:9A:05,-103
1521232638.956,5F:17:B5:B3:51:A4,-103
1521232638.965,D9:86:6F:AF:E8:90,-53
1521232638.970,D9:86:6F:AF:E8:90,-53
1521232638.974,C8:2F:80:DA:26:94,-54
1521232638.978,55:24:CF:EA:82:DD,-95
1521232639.000,E8:FA:0D:3C:01:82,-50
1521232639.008,E8:FA:0D:3C:01:82,-50
1521232639.010,62:38:F8:A7:CC:31,-92
1521232639.012,62:38:F8:A7:CC:31,-91
1521232639.017,26:94:08:39:24:90,-65
1521232639.026,DC:94:C8:A9:D0:B6,-56
1521232639.043,DC:94:C8:A9:D0:B6,-56
1521232639.273,C2:57:36:E6:71:6E,-56
1521232639.275,C2:57:36:E6:71:6E,-56
1521232639.276,75:33:23:D6:E1:5E,-93
1521232639.276,75:33:23:D6:E1:5E,-93
1521232639.277,3C:15:C2:C7:F7:27,-93
1521232639.280,3C:15:C2:C7:F7:27,-93
1521232639.284,E9:0D:4A:6D:31:59,-53
1521232639.288,E9:0D:4A:6D:31:59,-53
1521232639.290,CB:3C:59:5F:87:FB,-50
1521232639.292,CB:3C:59:5F:87:FB,-50
1521232639.294,C1:96:24:5B:EB:97,-50
1521232639.304,C1:96:24:5B:EB:97,-50
1521232639.306,98:9E:63:42:70:FD,-98
1521232639.310,98:9E:63:42:70:FD,-99
1521232639.312,61:B8:47:F5:59:8C,-98
1521232639.327,61:B8:47:F5:59:8C,-99
1521232639.331,B8:E8:56:16:06:B7,-103
1521232639.338,98:9E:63:42:70:FD,-98
1521232639.340,98:9E:63:42:70:FD,-100
