-----------------------------
1520460139.607,starting test
1520460151.891,EC:8F:47:27:6C:DE,-56
1520460151.893,EC:8F:47:27:6C:DE,-56
1520460151.895,E9:0D:4A:6D:31:59,-55
1520460151.897,E9:0D:4A:6D:31:59,-55
1520460151.916,D9:86:6F:AF:E8:90,-58
1520460151.920,D9:86:6F:AF:E8:90,-58
1520460151.922,F8:77:B8:B9:2D:74,-97
1520460151.928,C1:96:24:5B:EB:97,-51
1520460151.934,C1:96:24:5B:EB:97,-51
1520460151.936,1F:9C:A1:B9:1A:73,-67
1520460151.956,E8:FA:0D:3C:01:82,-55
1520460151.961,E8:FA:0D:3C:01:82,-55
1520460151.963,FD:99:D9:69:5D:BC,-55
1520460151.971,DC:94:C8:A9:D0:B6,-57
1520460152.190,61:BD:B8:45:93:20,-103
1520460152.199,E5:3B:3A:53:DF:6C,-55
1520460152.209,E5:3B:3A:53:DF:6C,-55
1520460152.211,C2:57:36:E6:71:6E,-55
1520460152.215,C2:57:36:E6:71:6E,-55
1520460152.217,68:64:4B:39:4B:0F,-94
1520460152.225,68:64:4B:39:4B:0F,-96
1520460152.227,F1:4E:55:EA:ED:A4,-55
1520460152.231,F1:4E:55:EA:ED:A4,-55
1520460152.233,F8:77:B8:B9:2D:74,-91
1520460152.237,C8:2F:80:DA:26:94,-56
1520460152.242,C8:2F:80:DA:26:94,-56
1520460152.243,DC:94:C8:A9:D0:B6,-55
1520460152.249,DC:94:C8:A9:D0:B6,-55
1520460152.251,1F:9C:A1:B9:1A:73,-53
1520460152.266,58:CF:4D:46:6B:20,-103
1520460152.795,1F:9C:A1:B9:1A:73,-55
1520460152.795,FD:99:D9:69:5D:BC,-53
1520460152.816,FD:99:D9:69:5D:BC,-53
1520460152.820,E5:3B:3A:53:DF:6C,-55
1520460152.824,E5:3B:3A:53:DF:6C,-55
1520460152.826,C2:57:36:E6:71:6E,-54
1520460152.845,C2:57:36:E6:71:6E,-54
1520460152.846,C8:2F:80:DA:26:94,-56
1520460152.847,C8:2F:80:DA:26:94,-56
1520460152.849,F1:4E:55:EA:ED:A4,-55
1520460152.851,F1:4E:55:EA:ED:A4,-55
1520460152.861,DC:94:C8:A9:D0:B6,-58
1520460152.869,DC:94:C8:A9:D0:B6,-58
1520460153.089,DC:94:C8:A9:D0:B6,-58
1520460153.099,DC:94:C8:A9:D0:B6,-58
1520460153.102,1F:9C:A1:B9:1A:73,-67
1520460153.131,68:64:4B:39:4B:0F,-100
1520460153.152,C1:96:24:5B:EB:97,-51
1520460153.158,C1:96:24:5B:EB:97,-51
1520460153.161,F8:77:B8:B9:2D:74,-96
1520460153.394,E8:FA:0D:3C:01:82,-55
1520460153.407,E8:FA:0D:3C:01:82,-55
1520460153.411,1F:9C:A1:B9:1A:73,-55
1520460153.412,FD:99:D9:69:5D:BC,-56
1520460153.414,FD:99:D9:69:5D:BC,-56
1520460153.416,E9:0D:4A:6D:31:59,-56
1520460153.420,E9:0D:4A:6D:31:59,-56
1520460153.424,D9:86:6F:AF:E8:90,-55
1520460153.432,D9:86:6F:AF:E8:90,-55
1520460153.436,E5:3B:3A:53:DF:6C,-55
1520460153.438,E5:3B:3A:53:DF:6C,-55
1520460153.440,C2:57:36:E6:71:6E,-55
1520460153.442,C2:57:36:E6:71:6E,-55
1520460153.453,F1:4E:55:EA:ED:A4,-55
1520460153.458,F1:4E:55:EA:ED:A4,-55
1520460153.461,C8:2F:80:DA:26:94,-56
1520460153.465,C8:2F:80:DA:26:94,-56
1520460153.466,78:4F:43:78:44:5D,-102
1520460153.471,78:4F:43:78:44:5D,-102
1520460153.473,61:BD:B8:45:93:20,-101
1520460153.475,F8:77:B8:B9:2D:74,-92
1520460153.695,DC:94:C8:A9:D0:B6,-58
1520460153.700,DC:94:C8:A9:D0:B6,-58
1520460153.702,C2:57:36:E6:71:6E,-54
1520460153.704,C2:57:36:E6:71:6E,-54
1520460153.714,EC:8F:47:27:6C:DE,-55
1520460153.716,EC:8F:47:27:6C:DE,-55
1520460153.718,1F:9C:A1:B9:1A:73,-58
1520460153.720,CB:3C:59:5F:87:FB,-53
1520460153.773,CB:3C:59:5F:87:FB,-53
1520460153.775,C1:96:24:5B:EB:97,-50
1520460153.995,C1:96:24:5B:EB:97,-51
1520460154.017,C1:96:24:5B:EB:97,-51
1520460154.019,E8:FA:0D:3C:01:82,-55
1520460154.024,FD:99:D9:69:5D:BC,-55
1520460154.025,D9:86:6F:AF:E8:90,-58
1520460154.029,D9:86:6F:AF:E8:90,-58
1520460154.031,1F:9C:A1:B9:1A:73,-67
1520460154.045,E5:3B:3A:53:DF:6C,-58
1520460154.070,F8:77:B8:B9:2D:74,-98
1520460154.072,C8:2F:80:DA:26:94,-57
1520460154.076,C8:2F:80:DA:26:94,-57
1520460154.298,E5:3B:3A:53:DF:6C,-55
