-----------------------------
1520459748.710,starting test
1520459761.426,D9:86:6F:AF:E8:90,-67
1520459761.440,1F:9C:A1:B9:1A:73,-68
1520459761.450,C1:96:24:5B:EB:97,-62
1520459761.458,C1:96:24:5B:EB:97,-62
1520459761.460,F8:77:B8:B9:2D:74,-99
1520459761.971,1F:9C:A1:B9:1A:73,-55
1520459761.972,DC:94:C8:A9:D0:B6,-61
1520459762.021,DC:94:C8:A9:D0:B6,-61
1520459762.021,E9:0D:4A:6D:31:59,-62
1520459762.022,E9:0D:4A:6D:31:59,-62
1520459762.026,CB:3C:59:5F:87:FB,-63
1520459762.028,CB:3C:59:5F:87:FB,-64
1520459762.031,EC:8F:47:27:6C:DE,-70
1520459762.033,EC:8F:47:27:6C:DE,-71
1520459762.056,C1:96:24:5B:EB:97,-58
1520459762.059,C1:96:24:5B:EB:97,-58
1520459762.271,C1:96:24:5B:EB:97,-58
1520459762.284,C1:96:24:5B:EB:97,-58
1520459762.285,1F:9C:A1:B9:1A:73,-58
1520459762.295,D9:86:6F:AF:E8:90,-64
1520459762.305,D9:86:6F:AF:E8:90,-64
1520459762.307,FD:99:D9:69:5D:BC,-62
1520459762.309,FD:99:D9:69:5D:BC,-62
1520459762.311,E8:FA:0D:3C:01:82,-60
1520459762.315,E8:FA:0D:3C:01:82,-60
1520459762.317,75:A9:1E:A7:92:1C,-103
1520459762.339,F1:4E:55:EA:ED:A4,-60
1520459762.351,F1:4E:55:EA:ED:A4,-60
1520459762.353,C2:57:36:E6:71:6E,-65
1520459762.355,C2:57:36:E6:71:6E,-65
1520459762.590,C8:2F:80:DA:26:94,-65
1520459762.590,DC:94:C8:A9:D0:B6,-65
1520459762.594,DC:94:C8:A9:D0:B6,-65
1520459762.596,1F:9C:A1:B9:1A:73,-70
1520459762.617,68:64:4B:39:4B:0F,-101
1520459762.623,E9:0D:4A:6D:31:59,-63
1520459762.642,E9:0D:4A:6D:31:59,-63
1520459762.644,CB:3C:59:5F:87:FB,-66
1520459762.646,CB:3C:59:5F:87:FB,-67
